模块,子模块,功能点,功能描述,API端点,HTTP方法,API状态,前端界面,优先级,备注
基础资料,客户管理,新增客户,创建新的客户,/api/customer,POST,已实现,已开发,P1,views/business/customer/form.vue
基础资料,客户管理,编辑客户,更新客户信息,/api/customer/{uid},PATCH,已实现,已开发,P1,views/business/customer/form.vue
基础资料,客户管理,删除客户,删除指定客户,/api/customer/{uid},DELETE,已实现,已开发,P2,
基础资料,客户管理,客户批量导入,批量导入客户资料,/api/tools/import/{type},POST,已实现,待开发,P1,type=customer
基础资料,客户管理,客户导出,导出客户资料,/api/tools/export/{type},GET,已实现,待开发,P2,type=customer
基础资料,客户管理,客户分类管理,创建客户标签,/api/customer/tag,POST,已实现,待开发,P2,
基础资料,客户管理,客户标签列表,获取客户标签列表,/api/customer/tag,GET,已实现,待开发,P2,
基础资料,客户管理,客户绑定标签,为客户绑定标签,/api/customer/{uid}/tags,POST,已实现,待开发,P2,
基础资料,客户管理,客户等级列表,获取客户等级列表,/api/customer/level,GET,已实现,待开发,P2,对应价格级别
基础资料,客户管理,创建客户等级,创建客户等级,/api/customer/level,POST,已实现,待开发,P2,
基础资料,客户管理,更新客户等级,更新客户等级,/api/customer/level/{id},PATCH,已实现,待开发,P2,
基础资料,客户管理,删除客户等级,删除客户等级,/api/customer/level/{id},DELETE,已实现,待开发,P3,
基础资料,客户管理,期初应收款,录入客户期初应收款,/api/customer/{uid},PATCH,已实现,待开发,P1,在客户信息中设置
基础资料,客户管理,信用额度设置,设置客户信用额度,/api/customer/{uid},PATCH,已实现,待开发,P2,在客户信息中设置
基础资料,客户管理,客户欠款预警,获取客户欠款/超期预警,/api/customer/debt-warning,GET,已实现,待开发,P2,
基础资料,客户管理,客户跟进记录,新增客户跟进记录,/api/customer/{uid}/follow-up,POST,已实现,待开发,P2,
基础资料,客户管理,跟进记录列表,获取客户跟进记录列表,/api/customer/{uid}/follow-up,GET,已实现,待开发,P2,
基础资料,客户管理,客户区域管理,创建/查询区域,/api/customer/region,GET/POST,已实现,待开发,P2,
基础资料,客户管理,设置客户区域,设置客户所属区域,/api/customer/{uid}/region,PATCH,已实现,待开发,P2,
基础资料,客户管理,客户迁移,将客户迁移到另一员工,/api/customer/migrate/{uid},PATCH,已实现,已开发,P2,API已封装
基础资料,客户管理,客户开票信息,保存/获取客户开票信息,/api/customer/{uid}/invoice-info,POST/GET,已实现,待开发,P2,
基础资料,客户管理,客户回访计划,创建客户回访计划,/api/customer/{uid}/visit-plan,POST,已实现,待开发,P2,
基础资料,客户管理,回访计划列表,获取回访计划列表,/api/customer/visit-plan,GET,已实现,待开发,P2,
基础资料,客户管理,客户提醒,创建客户提醒,/api/customer/{uid}/reminder,POST,已实现,待开发,P2,
基础资料,客户管理,开票登记,创建发票,/api/customer/invoice,POST,已实现,待开发,P2,
基础资料,客户管理,发票列表,获取发票列表,/api/customer/invoice,GET,已实现,待开发,P2,
基础资料,供应商管理,供应商列表,获取供应商分页列表,/api/provider/page/{index},GET,已实现,已开发,P1,views/business/provider/index.vue
基础资料,供应商管理,新增供应商,创建新的供应商,/api/provider,POST,已实现,已开发,P1,views/business/provider/form.vue
基础资料,供应商管理,编辑供应商,更新供应商信息,/api/provider/{uid},PATCH,已实现,已开发,P1,views/business/provider/form.vue
基础资料,供应商管理,删除供应商,删除指定供应商,/api/provider/{uid},DELETE,已实现,已开发,P2,
基础资料,供应商管理,供应商批量导入,批量导入供应商资料,/api/tools/import/{type},POST,已实现,待开发,P1,type=provider
基础资料,供应商管理,供应商导出,导出供应商资料,/api/tools/export/{type},GET,已实现,待开发,P2,type=provider
基础资料,供应商管理,期初应付款,录入供应商期初应付款,/api/provider/{uid},PATCH,已实现,待开发,P1,在供应商信息中设置
基础资料,供应商管理,供应商迁移,将供应商迁移到另一员工,/api/provider/migrate/{uid},PATCH,已实现,已开发,P2,API已封装
基础资料,部门员工,部门列表,获取部门分页列表,/api/department/page/{index},GET,已实现,已开发,P1,views/company/department/index.vue
基础资料,部门员工,新增部门,创建新的部门,/api/department,POST,已实现,已开发,P1,views/company/department/form.vue
基础资料,部门员工,编辑部门,更新部门信息,/api/department/{uid},PATCH,已实现,已开发,P1,views/company/department/form.vue
基础资料,部门员工,删除部门,删除指定部门,/api/department/{uid},DELETE,已实现,已开发,P2,
基础资料,部门员工,部门带员工查询,获取部门及其员工,/api/department/with-employee,GET,已实现,待开发,P1,用于树状结构展示
基础资料,部门员工,员工列表,获取员工分页列表,/api/employee/page/{index},GET,已实现,已开发,P1,views/company/employee/index.vue
基础资料,部门员工,新增员工,创建新的员工,/api/employee,POST,已实现,已开发,P1,views/company/employee/form.vue
基础资料,部门员工,编辑员工,更新员工信息,/api/employee/{uid},PATCH,已实现,已开发,P1,views/company/employee/form.vue
基础资料,部门员工,删除员工,删除指定员工,/api/employee/{uid},DELETE,已实现,已开发,P2,
基础资料,结算账户,账户列表,获取结算账户列表,/api/payment/list/{companyUid},GET,已实现,已开发,P1,views/business/payment/index.vue
基础资料,结算账户,新增账户,创建新的结算账户,/api/payment,POST,已实现,已开发,P1,views/business/payment/form.vue
基础资料,结算账户,账户充值,账户余额充值,/api/payment/{uid},PATCH,已实现,待开发,P1,type=top-up
基础资料,结算账户,账户扣款,账户余额扣款,/api/payment/{uid},PATCH,已实现,待开发,P1,type=pay
基础资料,结算账户,账户冻结,冻结账户金额,/api/payment/{uid},PATCH,已实现,待开发,P2,type=freeze
基础资料,结算账户,账户解冻,解冻账户金额,/api/payment/{uid},PATCH,已实现,待开发,P2,type=unfreeze
基础资料,结算账户,期初余额,录入账户期初余额,/api/finance-extension/initial-balance,POST,已实现,待开发,P1,
基础资料,结算账户,账户互转,账户间资金互转,/api/finance-extension/account-transfer,POST,已实现,待开发,P2,
基础资料,收支项目,收支项目列表,获取收支项目列表,/api/dict/name/{name},GET,已实现,待开发,P2,通过字典管理
基础资料,收支项目,新增收支项目,创建收支项目,/api/dict,POST,已实现,待开发,P2,
基础资料,收支项目,其他收支,创建其他收支记录,/api/finance-extension/other-transaction,POST,已实现,待开发,P2,
基础资料,计量单位,单位列表,分页查询计量单位,/api/unit,GET,已实现,待开发,P2,
基础资料,计量单位,新增单位,创建计量单位,/api/unit,POST,已实现,待开发,P2,
基础资料,计量单位,编辑单位,更新计量单位,/api/unit/{id},PATCH,已实现,待开发,P2,
基础资料,计量单位,删除单位,删除计量单位,/api/unit/{id},DELETE,已实现,待开发,P3,
基础资料,计量单位,单位换算,创建单位换算关系,/api/unit/conversion,POST,已实现,待开发,P2,多单位管理
采购管理,采购计划,采购数量预测,基于历史数据预测采购数量,/api/purchase-plan/predict,GET,已实现,待开发,P2,
采购管理,采购计划,创建采购计划,创建采购计划,/api/purchase-plan,POST,已实现,待开发,P2,
采购管理,采购计划,采购计划列表,查询采购计划,/api/purchase-plan,GET,已实现,待开发,P2,
采购管理,采购计划,删除采购计划,删除采购计划,/api/purchase-plan/{id},DELETE,已实现,待开发,P3,
采购管理,采购询价,创建询价单,创建采购询价单,/api/purchase-inquiry,POST,已实现,待开发,P2,
采购管理,采购询价,询价单列表,查询询价单,/api/purchase-inquiry,GET,已实现,待开发,P2,
采购管理,采购询价,发送询价单,发送询价单给供应商,/api/purchase-inquiry/{id}/send,POST,已实现,待开发,P2,
采购管理,采购询价,创建报价单,创建采购报价单,/api/purchase-quotation,POST,已实现,待开发,P2,
采购管理,采购询价,报价单列表,查询采购报价单,/api/purchase-quotation,GET,已实现,待开发,P2,
采购管理,采购订单,采购订单列表,获取采购订单分页列表,/api/purchase-order/page/{index},GET,已实现,已开发,P1,views/business/order/index.vue
采购管理,采购订单,新增采购订单,创建采购订单,/api/purchase-order,POST,已实现,已开发,P1,views/business/order/form.vue
采购管理,采购订单,编辑采购订单,更新采购订单,/api/purchase-order/{uid},PATCH,已实现,已开发,P1,views/business/order/form.vue
采购管理,采购订单,删除采购订单,删除采购订单,/api/purchase-order/{uid},DELETE,已实现,已开发,P2,
采购管理,采购订单,采购订单详情,获取采购订单详情,/api/purchase-order/{uid},GET,已实现,已开发,P1,
采购管理,采购订单,添加订单明细,添加采购订单明细,/api/purchase-order/detail/{uid},POST,已实现,已开发,P1,API已封装
采购管理,采购订单,更新订单明细,更新采购订单明细,/api/purchase-order/detail/{uid},PATCH,已实现,已开发,P1,API已封装
采购管理,采购订单,删除订单明细,删除采购订单明细,/api/purchase-order/detail/{uid},DELETE,已实现,已开发,P2,API已封装
采购管理,采购入库,确认到货,确认采购订单到货入库,/api/purchase-order/confirm-arrival/{uid},PATCH,已实现,已开发,P1,API已封装
采购管理,采购付款,采购付款,支付采购订单,/api/purchase-order/pay/{uid},PATCH,已实现,已开发,P1,API已封装
采购管理,采购退货,采购退货单列表,获取退货单列表(采购退货),/api/return-order/page/{index},GET,已实现,已开发,P1,复用order页面
采购管理,采购退货,新增采购退货单,创建采购退货单,/api/return-order,POST,已实现,已开发,P1,API已封装
采购管理,采购退货,确认发货,确认退货发货,/api/return-order/confirm-shipment/{uid},PATCH,已实现,已开发,P1,API已封装
采购管理,采购退货,确认送达,确认退货送达,/api/return-order/confirm-delivery/{uid},PATCH,已实现,已开发,P1,API已封装
采购管理,质检管理,录入质检结果,录入采购质检结果,/api/quality-inspection,POST,已实现,待开发,P2,
采购管理,质检管理,质检记录列表,查询质检记录,/api/quality-inspection,GET,已实现,待开发,P2,
采购管理,采购费用,添加采购费用,添加采购附加费用,/api/purchase-order/{uid}/expense,POST,已实现,待开发,P2,运费等
采购管理,采购费用,分摊采购费用,分摊采购费用到商品,/api/purchase-order/{uid}/allocate-expense,POST,已实现,待开发,P2,
采购管理,应付对账,生成应付对账单,生成供应商应付对账单,/api/payable-statement/generate,POST,已实现,待开发,P2,
采购管理,应付对账,应付对账单列表,查询应付对账单,/api/payable-statement,GET,已实现,待开发,P2,
采购管理,应付对账,确认对账单,确认应付对账单,/api/payable-statement/{id}/confirm,POST,已实现,待开发,P2,
采购管理,应付对账,对账单提异议,对账单提出异议,/api/payable-statement/{id}/dispute,POST,已实现,待开发,P3,
采购管理,订单作废,作废采购订单,作废已审核采购订单并回滚库存,/api/purchase-order/reverse/{uid},POST,已实现,已开发,P2,API已封装
销售管理,销售报价,创建报价单,创建销售报价单,/api/sale-quotation,POST,已实现,待开发,P2,
销售管理,销售报价,报价单列表,查询销售报价单,/api/sale-quotation,GET,已实现,待开发,P2,
销售管理,销售报价,更新报价状态,更新报价单状态,/api/sale-quotation/{id}/status,POST,已实现,待开发,P2,
销售管理,销售报价,报价转订单,将报价单转为销售订单,/api/sale-quotation/{id}/convert,POST,已实现,待开发,P2,
销售管理,价格管理,创建价目表,创建价目表,/api/price-list,POST,已实现,待开发,P2,
销售管理,价格管理,价目表列表,查询价目表,/api/price-list,GET,已实现,待开发,P2,
销售管理,价格管理,添加价目表明细,添加价目表商品价格,/api/price-list/{id}/detail,POST,已实现,待开发,P2,
销售管理,价格管理,分配价目表,分配价目表给客户,/api/price-list/{id}/assign-customer,POST,已实现,待开发,P2,
销售管理,价格管理,查询商品价格,查询客户商品价格,/api/price/query,GET,已实现,待开发,P1,根据客户等级自动匹配
销售管理,销售订单,销售订单列表,获取销售订单分页列表,/api/sale-order/page/{index},GET,已实现,已开发,P1,views/business/order/index.vue
销售管理,销售订单,新增销售订单,创建销售订单,/api/sale-order,POST,已实现,已开发,P1,views/business/order/form.vue
销售管理,销售订单,编辑销售订单,更新销售订单,/api/sale-order/{uid},PATCH,已实现,已开发,P1,
销售管理,销售订单,删除销售订单,删除销售订单,/api/sale-order/{uid},DELETE,已实现,已开发,P2,
销售管理,销售订单,销售订单详情,获取销售订单详情,/api/sale-order/{uid},GET,已实现,已开发,P1,
销售管理,销售订单,添加订单明细,添加销售订单明细,/api/sale-order/detail/{uid},POST,已实现,已开发,P1,API已封装
销售管理,销售订单,更新订单明细,更新销售订单明细,/api/sale-order/detail/{uid},PATCH,已实现,已开发,P1,API已封装
销售管理,销售订单,删除订单明细,删除销售订单明细,/api/sale-order/detail/{uid},DELETE,已实现,已开发,P2,API已封装
销售管理,销售出库,确认发货,确认销售订单发货出库,/api/sale-order/confirm-shipment/{uid},PATCH,已实现,已开发,P1,API已封装
销售管理,销售出库,确认送达,确认销售订单送达,/api/sale-order/confirm-delivery/{uid},PATCH,已实现,已开发,P1,API已封装
销售管理,销售收款,销售收款,收取销售订单款项,/api/sale-order/pay/{uid},PATCH,已实现,已开发,P1,API已封装
销售管理,预收款,创建预收款,创建客户预收款,/api/advance-receipt,POST,已实现,待开发,P2,
销售管理,预收款,预收款列表,查询预收款,/api/advance-receipt,GET,已实现,待开发,P2,
销售管理,预收款,预收款抵扣,预收款抵扣销售订单,/api/advance-receipt/{id}/use,POST,已实现,待开发,P2,
销售管理,销售退货,销售退货单列表,获取退货单列表(销售退货),/api/return-order/page/{index},GET,已实现,已开发,P1,复用order页面
销售管理,销售退货,新增销售退货单,创建销售退货单,/api/return-order,POST,已实现,已开发,P1,
销售管理,销售退货,确认收货,确认退货收货入库,/api/return-order/confirm-arrival/{uid},PATCH,已实现,已开发,P1,API已封装
销售管理,换货管理,换货单列表,获取换货单列表,/api/return-order/exchange/page/{index},GET,已实现,已开发,P2,API已封装
销售管理,应收对账,生成应收对账单,生成客户应收对账单,/api/receivable-statement/generate,POST,已实现,待开发,P2,
销售管理,应收对账,应收对账单列表,查询应收对账单,/api/receivable-statement,GET,已实现,待开发,P2,
销售管理,应收对账,确认对账单,确认应收对账单,/api/receivable-statement/{id}/confirm,POST,已实现,待开发,P2,
销售管理,催收提醒,创建催收提醒,创建催收提醒,/api/finance-extension/collection-reminder,POST,已实现,待开发,P2,
销售管理,催收提醒,催收提醒列表,催收提醒列表,/api/finance-extension/collection-reminder/{index},GET,已实现,待开发,P2,
销售管理,订单作废,作废销售订单,作废已审核销售订单并回滚库存,/api/sale-order/reverse/{uid},POST,已实现,已开发,P2,API已封装
库存管理,库存查询,库存列表,获取库存分页列表,/api/reserve/page/{index},GET,已实现,已开发,P1,views/business/stock/index.vue
库存管理,库存查询,库存详情,获取库存详情,/api/reserve/{id},GET,已实现,已开发,P1,API已封装
库存管理,库存查询,更新库存,更新库存信息,/api/reserve/{id},PATCH,已实现,已开发,P2,API已封装
库存管理,库存盘点,单个盘点,单个商品库存盘点,/api/reserve/stock-taking,POST,已实现,已开发,P1,views/business/stockTaking/index.vue
库存管理,库存盘点,批量盘点,批量库存盘点,/api/reserve/stock-taking/batch,POST,已实现,已开发,P1,API已封装
库存管理,库区货位,创建库区,创建仓库库区,/api/storage-zone,POST,已实现,待开发,P2,
库存管理,库区货位,库区列表,查询库区,/api/storage-zone,GET,已实现,待开发,P2,
库存管理,库区货位,创建货位,创建货位,/api/storage-location,POST,已实现,待开发,P2,
库存管理,库区货位,货位列表,查询货位,/api/storage-location,GET,已实现,待开发,P2,
库存管理,批次管理,创建批次,创建商品批次,/api/batch,POST,已实现,已开发,P2,views/business/batch/index.vue
库存管理,批次管理,批次列表,查询批次,/api/batch,GET,已实现,已开发,P2,
库存管理,批次管理,批次流水,记录批次出入库流水,/api/batch/{id}/transaction,POST,已实现,待开发,P2,
库存管理,批次管理,查看批次流水,查看批次流水,/api/batch/{id}/transactions,GET,已实现,待开发,P2,
库存管理,库存预警,创建库存预警,创建库存预警规则,/api/stock-alert,POST,已实现,待开发,P2,
库存管理,库存预警,库存预警列表,查询库存预警规则,/api/stock-alert,GET,已实现,待开发,P2,
库存管理,库存预警,效期预警规则,创建效期预警规则,/api/expiry-alert,POST,已实现,待开发,P2,
库存管理,库存预警,效期预警列表,查询效期预警规则,/api/expiry-alert,GET,已实现,待开发,P2,
库存管理,库存预警,手动扫描预警,手动触发库存/效期预警扫描,/api/stock-alert/scan,POST,已实现,待开发,P3,
库存管理,库存锁定,锁定库存,锁定库存,/api/reserve-lock,POST,已实现,待开发,P2,
库存管理,库存锁定,锁定记录列表,查询库存锁定记录,/api/reserve-lock,GET,已实现,待开发,P2,
库存管理,库存锁定,解除锁定,解除库存锁定,/api/reserve-lock/{id}/unlock,POST,已实现,待开发,P2,
库存管理,调拨管理,调拨单列表,获取调拨单分页列表,/api/transfer-order/page/{index},GET,已实现,已开发,P1,复用order页面
库存管理,调拨管理,新增调拨单,创建调拨单,/api/transfer-order,POST,已实现,已开发,P1,
库存管理,调拨管理,调拨单详情,获取调拨单详情,/api/transfer-order/{uid},GET,已实现,已开发,P1,
库存管理,调拨管理,确认调出,确认调拨发货,/api/transfer-order/confirm-shipment/{uid},PATCH,已实现,已开发,P1,API已封装
库存管理,调拨管理,确认调入,确认调拨收货,/api/transfer-order/confirm-arrival/{uid},PATCH,已实现,已开发,P1,API已封装
库存管理,报废管理,报废单列表,获取报废单分页列表,/api/waste-order/page/{index},GET,已实现,已开发,P2,复用order页面
库存管理,报废管理,新增报废单,创建报废单,/api/waste-order,POST,已实现,已开发,P2,
库存管理,报废管理,报废单详情,获取报废单详情,/api/waste-order/{uid},GET,已实现,已开发,P2,
库存管理,报废管理,作废报废单,作废已审核报废单并回滚,/api/waste-order/reverse/{uid},POST,已实现,已开发,P3,API已封装
库存管理,报溢管理,报溢单列表,获取报溢单分页列表,/api/surplus-order/page/{index},GET,已实现,已开发,P2,复用order页面
库存管理,报溢管理,新增报溢单,创建报溢单,/api/surplus-order,POST,已实现,已开发,P2,
库存管理,报溢管理,报溢单详情,获取报溢单详情,/api/surplus-order/{uid},GET,已实现,已开发,P2,
库存管理,报溢管理,作废报溢单,作废已审核报溢单并回滚,/api/surplus-order/reverse/{uid},POST,已实现,已开发,P3,API已封装
库存管理,序列号管理,胎号列表,获取胎号分页列表,/api/tire-number/page/{index},GET,已实现,已开发,P2,views/business/tireNumber/index.vue
库存管理,序列号管理,新增胎号,创建胎号,/api/tire-number,POST,已实现,已开发,P2,views/business/tireNumber/form.vue
库存管理,序列号管理,批量导入胎号,批量导入胎号,/api/tire-number/import,POST,已实现,待开发,P2,API已封装
库存管理,序列号管理,胎号查询,通过胎号查询,/api/tire-number/{number},GET,已实现,已开发,P2,
库存管理,序列号管理,胎号出库,标记胎号出库,/api/tire-number/out/{number},PATCH,已实现,待开发,P2,
库存管理,装箱管理,创建装箱单,创建装箱单,/api/packing-box,POST,已实现,待开发,P3,
库存管理,装箱管理,装箱单列表,查询装箱单,/api/packing-box,GET,已实现,待开发,P3,
库存管理,装箱管理,添加装箱明细,添加装箱明细,/api/packing-box/{id}/item,POST,已实现,待开发,P3,
资金财务,费用管理,创建费用单,创建费用单,/api/expense-order,POST,已实现,待开发,P2,
资金财务,费用管理,费用单列表,查询费用单,/api/expense-order,GET,已实现,待开发,P2,
资金财务,费用管理,更新费用单,更新费用单,/api/expense-order/{id},PATCH,已实现,待开发,P2,
资金财务,费用管理,删除费用单,删除费用单,/api/expense-order/{id},DELETE,已实现,待开发,P3,
资金财务,往来对账,生成往来对账单,生成往来对账单,/api/statement/generate,POST,已实现,待开发,P2,
售后质保,索赔管理,索赔单列表,获取索赔单分页列表,/api/claim-order/page/{index},GET,已实现,已开发,P2,复用order页面
售后质保,索赔管理,新增索赔单,创建索赔单,/api/claim-order,POST,已实现,已开发,P2,
售后质保,索赔管理,索赔单详情,获取索赔单详情,/api/claim-order/{uid},GET,已实现,已开发,P2,
售后质保,索赔管理,更新索赔单,更新索赔单,/api/claim-order/{uid},PATCH,已实现,已开发,P2,
售后质保,索赔管理,作废索赔单,作废已审核索赔单,/api/claim-order/reverse/{uid},POST,已实现,已开发,P3,API已封装
售后质保,缺陷分类,缺陷类型列表,获取缺陷类型列表,/api/claim-order/defect-category,GET,已实现,待开发,P2,
售后质保,缺陷分类,新增缺陷类型,新增缺陷类型,/api/claim-order/defect-category,POST,已实现,待开发,P2,
售后质保,检测记录,新增检测记录,新增检测记录,/api/claim-order/{uid}/inspection,POST,已实现,待开发,P2,
售后质保,检测记录,检测记录列表,获取检测记录列表,/api/claim-order/{uid}/inspection,GET,已实现,待开发,P2,
物流管理,物流状态,物流状态列表,获取订单物流状态列表,/api/logistic/page/{index},GET,已实现,已开发,P2,views/business/logistic/index.vue
物流管理,物流状态,物流状态详情,获取订单物流状态详情,/api/logistic/{uid},GET,已实现,待开发,P2,
物流管理,物流状态,更新物流状态,更新订单物流状态,/api/logistic/{uid},PATCH,已实现,待开发,P2,
物流管理,物流状态,取消物流,取消订单物流,/api/logistic/{uid},DELETE,已实现,待开发,P3,
物流管理,配送计划,创建配送计划,创建配送计划,/api/logistic/shipping-plan,POST,已实现,待开发,P2,
报表分析,采购报表,采购汇总表,按商品/供应商统计采购,/api/analysis/purchase-summary,GET,待确认,已开发,P2,views/analysis/purchase/index.vue
报表分析,采购报表,采购明细表,采购单据明细列表,/api/purchase-order/page/{index},GET,已实现,已开发,P2,可复用订单列表
报表分析,采购报表,采购订单跟踪,采购订单执行状态跟踪,/api/purchase-order/page/{index},GET,已实现,已开发,P2,显示未入库数量
报表分析,销售报表,销售汇总表,按商品/客户/业务员统计销售,/api/analysis/sale-summary,GET,待确认,已开发,P2,views/analysis/sales/index.vue
报表分析,销售报表,销售排行榜,商品/客户/业务员销售排名,/api/analysis/sale-ranking,GET,待确认,已开发,P2,views/analysis/ranking/index.vue
报表分析,销售报表,销售明细表,销售单据明细列表,/api/sale-order/page/{index},GET,已实现,已开发,P2,可复用订单列表
报表分析,销售报表,销售订单跟踪,销售订单执行状态跟踪,/api/sale-order/page/{index},GET,已实现,已开发,P2,显示未出库数量
报表分析,库存报表,库存状况表,各商品当前库存状况,/api/reserve/page/{index},GET,已实现,已开发,P1,views/analysis/inventory/index.vue
报表分析,库存报表,出入库汇总表,商品出入库汇总统计,/api/analysis/stock-summary,GET,待确认,待开发,P2,需检查API
报表分析,库存报表,库存流水账,库存变动明细追溯,/api/batch/{id}/transactions,GET,已实现,待开发,P2,
报表分析,库存报表,序列号跟踪,序列号商品流转历史,/api/tire-number/{number},GET,已实现,已开发,P2,
报表分析,库存报表,库存预警报表,低于安全库存商品列表,/api/stock-alert,GET,已实现,待开发,P2,
报表分析,资金报表,资金日报/月报,资金变动情况报表,/api/analysis/finance-daily,GET,待确认,已开发,P2,views/analysis/assets/index.vue
报表分析,资金报表,账户余额表,各账户当前余额,/api/payment/list/{companyUid},GET,已实现,已开发,P1,
报表分析,资金报表,应收账款表,客户应收账款余额,/api/receivable-statement,GET,已实现,待开发,P2,
报表分析,资金报表,应收账龄分析,应收账款账龄分析,/api/analysis/receivable-aging,GET,待确认,已开发,P2,views/analysis/aging/index.vue
报表分析,资金报表,应付账款表,供应商应付账款余额,/api/payable-statement,GET,已实现,待开发,P2,
报表分析,资金报表,应付账龄分析,应付账款账龄分析,/api/analysis/payable-aging,GET,待确认,待开发,P2,需检查API
报表分析,资金报表,收支项目汇总,收支项目金额统计,/api/finance-extension/other-transaction/{index},GET,已实现,待开发,P2,
报表分析,利润核算,销售毛利表,销售收入成本毛利明细,/api/analysis/gross-profit,GET,待确认,待开发,P1,需检查API
报表分析,利润核算,经营状况表,企业净利润计算,/api/analysis/income-statement,GET,待确认,待开发,P1,需检查API
系统设置,用户管理,用户列表,获取用户分页列表,/api/user/page/{index},GET,已实现,已开发,P1,views/system/user/index.vue
系统设置,用户管理,新增用户,创建新用户,/api/user,POST,已实现,已开发,P1,
系统设置,用户管理,编辑用户,更新用户信息,/api/user/{uid},PATCH,已实现,已开发,P1,
系统设置,用户管理,删除用户,删除用户,/api/user/{uid},DELETE,已实现,已开发,P2,
系统设置,角色权限,角色列表,获取角色分页列表,/api/role/page/{index},GET,已实现,已开发,P1,views/system/role/index.vue
系统设置,角色权限,新增角色,创建新角色,/api/role,POST,已实现,已开发,P1,
系统设置,角色权限,编辑角色,更新角色信息,/api/role/{uid},PATCH,已实现,已开发,P1,
系统设置,角色权限,删除角色,删除角色,/api/role/{uid},DELETE,已实现,已开发,P2,
系统设置,角色权限,权限列表,获取权限分页列表,/api/permission/page/{index},GET,已实现,已开发,P1,views/system/permission/index.vue
系统设置,角色权限,新增权限,创建新权限,/api/permission,POST,已实现,已开发,P1,
系统设置,角色权限,编辑权限,更新权限信息,/api/permission/{uid},PATCH,已实现,已开发,P1,
系统设置,角色权限,删除权限,删除权限,/api/permission/{uid},DELETE,已实现,已开发,P2,
系统设置,角色权限,权限模板列表,分页查询权限模板,/api/permission-template/page/{index},GET,已实现,待开发,P2,
系统设置,角色权限,新增权限模板,新建权限模板,/api/permission-template,POST,已实现,待开发,P2,
系统设置,角色权限,部门角色分配,分配角色给部门,/api/department/{uid}/roles,PATCH,已实现,待开发,P2,
系统设置,审批流程,审批流列表,分页查询审批流,/api/approval-flow/page/{index},GET,已实现,待开发,P2,
系统设置,审批流程,新增审批流,创建审批流,/api/approval-flow,POST,已实现,待开发,P2,
系统设置,审批流程,编辑审批流,更新审批流,/api/approval-flow/{uid},PATCH,已实现,待开发,P2,
系统设置,审批流程,删除审批流,删除审批流,/api/approval-flow/{uid},DELETE,已实现,待开发,P3,
系统设置,单据设置,系统设置列表,获取系统设置列表,/api/setting/page/{index},GET,已实现,待开发,P2,
系统设置,单据设置,创建系统设置,创建系统设置项,/api/setting,POST,已实现,待开发,P2,
系统设置,单据设置,更新系统设置,更新系统设置项,/api/setting/{uid},PATCH,已实现,待开发,P2,
系统设置,单据设置,获取设置项,获取指定设置项,/api/setting/{uid},GET,已实现,待开发,P2,
系统设置,单据设置,设置分组列表,按分组获取设置列表,/api/setting/list,GET,已实现,待开发,P2,
系统设置,菜单管理,菜单列表,获取菜单分页列表,/api/menu/page/{index},GET,已实现,待开发,P1,
